customer_id,customer_name,city
2001,Customer_2001,Mumbai
2002,Customer_2002,Chennai
2003,Customer_2003,Delhi
2004,Customer_2004,Delhi
2005,Customer_2005,Pune
2006,Customer_2006,Chennai
2007,Customer_2007,Delhi
2008,Customer_2008,Bangalore
2009,Customer_2009,Pune
2010,Customer_2010,Pune
2011,Customer_2011,Chennai
2012,Customer_2012,Delhi
2013,Customer_2013,Pune
2014,Customer_2014,Bangalore
2015,Customer_2015,Pune
2016,Customer_2016,Chennai
2017,Customer_2017,Delhi
2018,Customer_2018,Pune
2019,Customer_2019,Delhi
2020,Customer_2020,Delhi
2021,Customer_2021,Pune
2022,Customer_2022,Delhi
2023,Customer_2023,Delhi
2024,Customer_2024,Bangalore
2025,Customer_2025,Pune
2026,Customer_2026,Bangalore
2027,Customer_2027,Chennai
2028,Customer_2028,Mumbai
2029,Customer_2029,Delhi
2030,Customer_2030,Pune
2031,Customer_2031,Bangalore
2032,Customer_2032,Delhi
2033,Customer_2033,Pune
2034,Customer_2034,Chennai
2035,Customer_2035,Bangalore
2036,Customer_2036,Mumbai
2037,Customer_2037,Mumbai
2038,Customer_2038,Bangalore
2039,Customer_2039,Delhi
2040,Customer_2040,Bangalore
2041,Customer_2041,Delhi
2042,Customer_2042,Pune
2043,Customer_2043,Chennai
2044,Customer_2044,Pune
2045,Customer_2045,Delhi
2046,Customer_2046,Mumbai
2047,Customer_2047,Chennai
2048,Customer_2048,Pune
2049,Customer_2049,Bangalore
2050,Customer_2050,Bangalore
2051,Customer_2051,Bangalore
2052,Customer_2052,Chennai
2053,Customer_2053,Delhi
2054,Customer_2054,Chennai
2055,Customer_2055,Mumbai
2056,Customer_2056,Bangalore
2057,Customer_2057,Mumbai
2058,Customer_2058,Bangalore
2059,Customer_2059,Pune
2060,Customer_2060,Chennai
2061,Customer_2061,Chennai
2062,Customer_2062,Bangalore
2063,Customer_2063,Delhi
2064,Customer_2064,Pune
2065,Customer_2065,Delhi
2066,Customer_2066,Bangalore
2067,Customer_2067,Mumbai
2068,Customer_2068,Delhi
2069,Customer_2069,Chennai
2070,Customer_2070,Bangalore
2071,Customer_2071,Bangalore
2072,Customer_2072,Pune
2073,Customer_2073,Delhi
2074,Customer_2074,Pune
2075,Customer_2075,Bangalore
2076,Customer_2076,Pune
2077,Customer_2077,Pune
2078,Customer_2078,Bangalore
2079,Customer_2079,Pune
2080,Customer_2080,Chennai
2081,Customer_2081,Pune
2082,Customer_2082,Pune
2083,Customer_2083,Chennai
2084,Customer_2084,Bangalore
2085,Customer_2085,Delhi
2086,Customer_2086,Pune
2087,Customer_2087,Mumbai
2088,Customer_2088,Pune
2089,Customer_2089,Chennai
2090,Customer_2090,Delhi
2091,Customer_2091,Mumbai
2092,Customer_2092,Pune
2093,Customer_2093,Pune
2094,Customer_2094,Chennai
2095,Customer_2095,Bangalore
2096,Customer_2096,Pune
2097,Customer_2097,Pune
2098,Customer_2098,Pune
2099,Customer_2099,Delhi
2100,Customer_2100,Bangalore
2101,Customer_2101,Chennai
2102,Customer_2102,Mumbai
2103,Customer_2103,Mumbai
2104,Customer_2104,Delhi
2105,Customer_2105,Bangalore
2106,Customer_2106,Mumbai
2107,Customer_2107,Delhi
2108,Customer_2108,Mumbai
2109,Customer_2109,Delhi
2110,Customer_2110,Mumbai
2111,Customer_2111,Pune
2112,Customer_2112,Pune
2113,Customer_2113,Pune
2114,Customer_2114,Mumbai
2115,Customer_2115,Bangalore
2116,Customer_2116,Chennai
2117,Customer_2117,Chennai
2118,Customer_2118,Chennai
2119,Customer_2119,Delhi
2120,Customer_2120,Pune
2121,Customer_2121,Delhi
2122,Customer_2122,Delhi
