product_id,product_name,category,price
3001,Product_3001,Electronics,9910
3002,Product_3002,Electronics,9766
3003,Product_3003,Furniture,793
3004,Product_3004,Furniture,2763
3005,Product_3005,Clothing,9144
3006,Product_3006,Clothing,2641
3007,Product_3007,Clothing,6621
3008,Product_3008,Electronics,596
3009,Product_3009,Furniture,4208
3010,Product_3010,Clothing,3225
3011,Product_3011,Electronics,2406
3012,Product_3012,Clothing,4076
3013,Product_3013,Furniture,5000
3014,Product_3014,Furniture,9677
3015,Product_3015,Clothing,6789
3016,Product_3016,Electronics,2937
3017,Product_3017,Furniture,2222
3018,Product_3018,Electronics,7009
3019,Product_3019,Clothing,8828
3020,Product_3020,Furniture,2369
3021,Product_3021,Furniture,861
3022,Product_3022,Electronics,1561
3023,Product_3023,Electronics,7354
3024,Product_3024,Clothing,8648
3025,Product_3025,Clothing,9248
3026,Product_3026,Electronics,4745
3027,Product_3027,Clothing,1853
3028,Product_3028,Furniture,3523
3029,Product_3029,Furniture,6351
3030,Product_3030,Electronics,4274
3031,Product_3031,Furniture,6358
3032,Product_3032,Clothing,8342
3033,Product_3033,Furniture,4681
3034,Product_3034,Clothing,2653
3035,Product_3035,Furniture,1255
3036,Product_3036,Electronics,9980
3037,Product_3037,Clothing,2109
3038,Product_3038,Clothing,767
3039,Product_3039,Furniture,9181
3040,Product_3040,Electronics,5210
3041,Product_3041,Clothing,4954
3042,Product_3042,Clothing,6261
3043,Product_3043,Clothing,8971
3044,Product_3044,Furniture,5886
3045,Product_3045,Clothing,7826
3046,Product_3046,Clothing,9391
3047,Product_3047,Furniture,7903
3048,Product_3048,Furniture,3019
3049,Product_3049,Electronics,3257
3050,Product_3050,Electronics,4600
